letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
fighting-with-my-family,445629,Fighting with My Family,Fighting with My Family,/cVhe15rJLRjolunSWLBN6xQLyGU.jpg,,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",2019,0,-1.0
velvet-buzzsaw,463684,Velvet Buzzsaw,Velvet Buzzsaw,/3rViQPcrWthMNecp5XnkKev6BzW.jpg,,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art.",2019,0,-1.0
honey-boy,512263,Honey Boy,Honey Boy,/3BZ2rBn31kWER45ZMj7OTe9keMm.jpg,,"The story of a child star attempting to mend his relationship with his law-breaking, alcohol-abusing father over the course of a decade, loosely based on Shia LaBeouf’s life.",2019,0,-1.0
the-farewell-2019,565310,The Farewell,The Farewell,/7ht2IMGynDSVQGvAXhAb83DLET8.jpg,,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,2019,0,-1.0
black-mirror-bandersnatch,569547,Black Mirror: Bandersnatch,Black Mirror: Bandersnatch,/fR0VZ0VE598zl1lrYf7IfBqEwQ2.jpg,,"In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.",2018,0,-1.0
spider-man-into-the-spider-verse,324857,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018,0,-1.0
aquaman-2018,297802,Aquaman,Aquaman,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",2018,0,-1.0
instant-family,491418,Instant Family,Instant Family,/dic3GdmMpxxfkCQfvZnasb5ZkSG.jpg,,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",2018,0,-1.0
mary-queen-of-scots-2018,457136,Mary Queen of Scots,Mary Queen of Scots,/b5RMzLAyq5QW6GtN9sIeAEMLlBI.jpg,,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, conspiracies and their own life choices imperil both Queens. They experience the bitter cost of power, until their tragic fate is finally fulfilled.",2018,0,-1.0
venom-2018,335983,Venom,Venom,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018,0,-1.0
bad-times-at-the-el-royale,446021,Bad Times at the El Royale,Bad Times at the El Royale,/qExufIc4Rw0e4xdVZlhMdmEDGES.jpg,,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.",2018,0,-1.0
green-book,490132,Green Book,Green Book,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",2018,0,-1.0
