tmdb,name
59918,Rodney Rothman
59998,Greg McLean
60073,Brie Larson
60237,John A. Davis
60922,Josh Gordon
60923,Will Speck
61300,Yarrow Cheney
61371,Todd Edwards
61372,Tony Leech
61373,Cory Edwards
61411,Mark Dindal
61677,Burny Mattinson
61678,David Michener
61847,Ethan Maniquis
61949,Robert Walker
61952,Aaron Blaise
62020,Jack Sholder
62047,Gary Trousdale
62048,Kirk Wise
62514,Tommy O'Haver
62768,William Brent Bell
62854,Akiva Schaffer
62863,Jorma Taccone
63099,Michael Fimognari
63306,James Watkins
63550,Tom McLoughlin
63571,Wilson Yip
63820,Christian Ditter
64045,Kirk Jones
64141,David Gordon Green
64151,Mike Mitchell
64191,Lawrence Guterman
64194,Paweł Pawlikowski
64195,Joseph Zito
64211,Franck Khalfoun
64722,John Carl Buechler
64735,Rob Hedden
64743,Adam Marcus
64796,Tom Holland
64864,Clyde Geronimi
64992,Hou Hsiao-hsien
65167,Scott Cooper
65298,Brian Henson
65310,Kenny Ortega
65314,Giuseppe Tornatore
65429,Kunihiko Yuyama
65452,Mike Leigh
65530,Mike Gabriel
65531,Eric Goldberg
65594,John Michael McDonagh
65629,Bibo Bergeron
65630,Rob Letterman
65677,Don Mancini
65678,John Lafia
65734,Luke Greenfield
65855,Ralph Zondag
65856,Eric Leighton
66074,Bryan Bertino
66121,"George Tillman, Jr."
66190,Tony Bancroft
66191,Barry Cook
66193,Chris Sanders
66563,Fred Wolf
66605,Todd Solondz
66633,Vince Gilligan
66681,Matt Bettinelli-Olpin
66728,Jonathan Glazer
66739,Jonathan Liebesman
66777,Bob Fosse
66987,Fritz Kiersch
67367,Rian Johnson
67604,Ted Berman
67607,Art Stevens
67717,Michel Hazanavicius
67753,Mark L. Lester
67813,Baltasar Kormákur
68424,Michael Powell
68457,James Frawley
68770,Mark Rosman
68813,Céline Sciamma
68843,Jon Hurwitz
68844,Hayden Schlossberg
69003,John Lounsbery
69081,Kim Jee-woon
69124,Abby Kohn
69125,Marc Silverstein
69167,Juzo Itami
69237,Joe Berlinger
69371,Jean-Marc Vallée
69416,Bradley Raymond
69579,James Isaac
69597,Drew Barrymore
69741,David M. Evans
69759,Apichatpong Weerasethakul
69797,Dean DeBlois
70238,Chris Williams
70500,Tom Hooper
70651,Stephen Hillenburg
71068,Phyllida Lloyd
71082,Andrea Arnold
71267,Kirk DeMicco
71280,Michael Dowse
71329,Jonas Åkerlund
71538,Dave Filoni
71548,Peter Sollett
71551,Lorene Scafaria
71600,Seth Gordon
71609,Joachim Trier
71729,Steve Martino
71872,Jeff Nichols
71923,Shane Acker
71947,Gina Prince-Bythewood
72024,Malcolm D. Lee
72036,Susan Johnson
72619,Stacy Title
72757,Steve McQueen
74091,Makoto Shinkai
74396,Tomas Alfredson
74619,Sean Anders
74655,Jeremy Saulnier
74671,Robert Hiltzik
74752,Nikolaj Arcel
75035,Olivier Megaton
75699,Lisa Cholodenko
75915,Na Hong-jin
76595,Byron Howard
76624,Shane Carruth
76927,Tommy Wirkola
76965,Jon S. Baird
76978,Masaki Kobayashi
76998,James Marsh
77003,Gavin O'Connor
77147,John Erick Dowdle
77269,John Crowley
77357,Rupert Wyatt
77921,Hideaki Anno
77923,Kazuya Tsurumaki
77965,Morten Tyldum
78160,Luca Guadagnino
78173,Hiroyuki Morita
78188,Whit Stillman
78914,Noam Murro
79294,Herk Harvey
79434,Craig Zobel
80247,Stephen Chiodo
80260,René Laloux
80261,Robin Hardy
81850,Duncan Jones
81916,Tommy Wiseau
82194,Neill Blomkamp
82226,Charlie McDowell
82335,Richard Glatzer
82337,Wash Westmoreland
82511,Will Gluck
83281,Lenny Abrahamson
83287,Lynne Ramsay
83858,Simon Barrett
84416,Gene Stupnitsky
84425,Éric Toledano
84426,Olivier Nakache
84461,Alice Wu
84496,Josh Cooley
