movie_link,genre_id
corpse-bride,14
corpse-bride,16
brokeback-mountain,18
brokeback-mountain,10749
the-aviator,18
harry-potter-and-the-prisoner-of-azkaban,12
harry-potter-and-the-prisoner-of-azkaban,14
shaun-of-the-dead,27
shaun-of-the-dead,35
eternal-sunshine-of-the-spotless-mind,878
eternal-sunshine-of-the-spotless-mind,18
eternal-sunshine-of-the-spotless-mind,10749
the-lord-of-the-rings-the-return-of-the-king,12
the-lord-of-the-rings-the-return-of-the-king,14
the-lord-of-the-rings-the-return-of-the-king,28
pirates-of-the-caribbean-the-curse-of-the-black-pearl,12
pirates-of-the-caribbean-the-curse-of-the-black-pearl,14
pirates-of-the-caribbean-the-curse-of-the-black-pearl,28
the-lord-of-the-rings-the-two-towers,12
the-lord-of-the-rings-the-two-towers,14
the-lord-of-the-rings-the-two-towers,28
harry-potter-and-the-chamber-of-secrets,12
harry-potter-and-the-chamber-of-secrets,14
star-wars-episode-ii-attack-of-the-clones,12
star-wars-episode-ii-attack-of-the-clones,28
star-wars-episode-ii-attack-of-the-clones,878
bend-it-like-beckham,35
bend-it-like-beckham,18
bend-it-like-beckham,10749
the-lord-of-the-rings-the-fellowship-of-the-ring,12
the-lord-of-the-rings-the-fellowship-of-the-ring,14
the-lord-of-the-rings-the-fellowship-of-the-ring,28
harry-potter-and-the-philosophers-stone,12
harry-potter-and-the-philosophers-stone,14
harry-potter-and-the-philosophers-stone,10751
the-royal-tenenbaums,35
the-royal-tenenbaums,18
the-devils-backbone,14
the-devils-backbone,18
the-devils-backbone,27
the-devils-backbone,53
moulin-rouge-2001,18
moulin-rouge-2001,10749
american-psycho,53
american-psycho,18
american-psycho,80
american-psycho,27
sleepy-hollow,18
sleepy-hollow,14
sleepy-hollow,53
sleepy-hollow,9648
sleepy-hollow,27
fight-club,18
star-wars-episode-i-the-phantom-menace,12
star-wars-episode-i-the-phantom-menace,28
star-wars-episode-i-the-phantom-menace,878
10-things-i-hate-about-you,35
10-things-i-hate-about-you,10749
10-things-i-hate-about-you,18
rushmore,35
rushmore,18
romeo-juliet-1996,18
romeo-juliet-1996,10749
se7en,80
se7en,9648
se7en,53
clueless,35
clueless,10749
before-sunrise,18
before-sunrise,10749
little-women-1994,18
little-women-1994,10749
dead-poets-society,18
ferris-buellers-day-off,35
the-outsiders,80
the-outsiders,18
blade-runner,878
blade-runner,18
blade-runner,53
the-shining,27
the-shining,53
suspiria,27
taxi-driver,80
taxi-driver,18
the-godfather-part-ii,18
the-godfather-part-ii,80
the-godfather,18
the-godfather,80
willy-wonka-the-chocolate-factory,10751
willy-wonka-the-chocolate-factory,14
willy-wonka-the-chocolate-factory,35
the-umbrellas-of-cherbourg,18
the-umbrellas-of-cherbourg,10749
the-sword-in-the-stone,16
the-sword-in-the-stone,10751
psycho,27
psycho,18
psycho,53
north-by-northwest,9648
north-by-northwest,53
rear-window,18
rear-window,9648
rear-window,53
dial-m-for-murder,80
dial-m-for-murder,53
stagecoach,12
stagecoach,18
stagecoach,37
the-kid,35
the-kid,18
the-old-guard-2020,28
the-old-guard-2020,14
da-5-bloods,10752
da-5-bloods,18
bombshell-2019,18
jumanji-the-next-level,12
jumanji-the-next-level,35
jumanji-the-next-level,14
terminator-dark-fate,28
terminator-dark-fate,12
terminator-dark-fate,878
el-camino-a-breaking-bad-movie,80
el-camino-a-breaking-bad-movie,18
el-camino-a-breaking-bad-movie,53
el-camino-a-breaking-bad-movie,28
between-two-ferns-the-movie,35
dolemite-is-my-name,18
dolemite-is-my-name,35
dolemite-is-my-name,36
uncut-gems,80
uncut-gems,53
uncut-gems,18
uncut-gems,35
portrait-of-a-lady-on-fire,18
portrait-of-a-lady-on-fire,10749
john-wick-chapter-3-parabellum,28
john-wick-chapter-3-parabellum,53
john-wick-chapter-3-parabellum,80
yesterday-2019,35
yesterday-2019,10749
yesterday-2019,14
yesterday-2019,10402
the-old-man-the-gun,35
the-old-man-the-gun,80
the-old-man-the-gun,18
the-favourite,18
the-favourite,36
the-favourite,35
tag-2018,35
tag-2018,18
solo-a-star-wars-story,12
solo-a-star-wars-story,878
avengers-infinity-war,12
avengers-infinity-war,28
avengers-infinity-war,878
ready-player-one,12
ready-player-one,878
game-night,9648
game-night,35
game-night,80
annihilation,878
annihilation,27
sorry-to-bother-you,14
sorry-to-bother-you,878
sorry-to-bother-you,35
phantom-thread,18
phantom-thread,10749
star-wars-the-last-jedi,878
star-wars-the-last-jedi,28
star-wars-the-last-jedi,12
jumanji-welcome-to-the-jungle,28
jumanji-welcome-to-the-jungle,12
jumanji-welcome-to-the-jungle,35
jumanji-welcome-to-the-jungle,14
thor-ragnarok,28
thor-ragnarok,12
thor-ragnarok,35
thor-ragnarok,14
the-snowman-2017,80
the-snowman-2017,53
battle-of-the-sexes-2017,35
battle-of-the-sexes-2017,18
battle-of-the-sexes-2017,36
brawl-in-cell-block-99,28
brawl-in-cell-block-99,80
brawl-in-cell-block-99,53
spider-man-homecoming,28
spider-man-homecoming,12
spider-man-homecoming,878
spider-man-homecoming,18
guardians-of-the-galaxy-vol-2,28
guardians-of-the-galaxy-vol-2,12
guardians-of-the-galaxy-vol-2,35
guardians-of-the-galaxy-vol-2,878
the-disaster-artist,35
the-disaster-artist,18
atomic-blonde,28
atomic-blonde,9648
atomic-blonde,53
the-boss-baby,16
the-boss-baby,35
the-boss-baby,10751
logan-2017,28
logan-2017,18
logan-2017,878
john-wick-chapter-2,53
john-wick-chapter-2,28
