movie_link,director_id
chicken-little-2005,61411
jarhead,39
sky-high-2005,64151
charlie-and-the-chocolate-factory,510
the-adventures-of-sharkboy-and-lavagirl,2294
batman-begins,525
madagascar,18863
madagascar,18864
robots,5713
hitch-2005,17167
brick,67367
national-treasure,12962
the-incredibles,7087
the-polar-express,24
the-bourne-supremacy,25598
a-cinderella-story,68770
shrek-2,5524
shrek-2,12079
shrek-2,12080
troy,5231
ella-enchanted,62514
primer,76624
the-cat-in-the-hat-2003,5133
brother-bear,61952
brother-bear,61949
mystic-river,190
freaky-friday-2003,54050
spy-kids-3-d-game-over,2294
the-italian-job-2003,37932
finding-nemo,7
the-santa-clause-2,15045
lilo-stitch,66193
lilo-stitch,69797
the-bourne-identity-2002,11694
the-pianist,3556
insomnia-2002,525
spider-man,7623
ice-age,5713
monsters-inc,12890
jurassic-park-iii,4945
shrek,5524
shrek,12058
spy-kids,2294
the-emperors-new-groove,61411
remember-the-titans,52358
memento,525
bring-it-on,59026
the-patriot-2000,6046
dinosaur,65855
dinosaur,65856
the-green-mile,4027
notting-hill,7017
the-prince-of-egypt,21879
the-prince-of-egypt,44113
the-prince-of-egypt,59803
the-parent-trap-1998,17698
saving-private-ryan,488
mulan,66190
mulan,66191
good-will-hunting,5216
air-force-one,5231
hercules-1997,15810
hercules-1997,15811
the-lost-world-jurassic-park,488
jerry-maguire,11649
the-rock,865
mission-impossible,1150
apollo-13,6159
casper,11887
the-usual-suspects,9032
the-santa-clause,58072
the-shawshank-redemption,4027
the-lion-king,15812
the-lion-king,18898
mrs-doubtfire,10965
the-sandlot,69741
aladdin,15810
aladdin,15811
home-alone-2-lost-in-new-york,10965
alien-3,7467
national-lampoons-christmas-vacation,34682
honey-i-shrunk-the-kids,4945
the-naked-gun-from-the-files-of-police-squad,12987
planes-trains-and-automobiles,11505
stand-by-me,3026
aliens,2710
the-great-mouse-detective,15810
the-great-mouse-detective,15811
the-great-mouse-detective,61677
the-great-mouse-detective,61678
top-gun,893
rocky-iv,16483
come-and-see,93406
the-goonies,7187
blood-simple,1223
a-christmas-story-1983,12698
et-the-extra-terrestrial,488
alien,578
apocalypse-now,1776
chinatown,3556
robin-hood,57314
once-upon-a-time-in-the-west,4385
the-jungle-book,57314
the-good-the-bad-and-the-ugly,4385
andrei-rublev,8452
persona,6648
for-a-few-dollars-more,4385
a-charlie-brown-christmas,94011
the-sound-of-music,1744
rudolph-the-red-nosed-reindeer,144977
a-fistful-of-dollars,4385
mary-poppins,5834
8-half,4415
to-kill-a-mockingbird,8482
jules-and-jim,1650
west-side-story,1744
west-side-story,18868
the-400-blows,1650
vertigo,2636
paths-of-glory,240
the-seventh-seal,6648
on-the-waterfront,2746
sunset-boulevard,3146
late-spring,95501
the-red-shoes,37846
the-red-shoes,68424
dumbo,11426
the-maltese-falcon-1941,6593
pinocchio,11426
pinocchio,11429
un-chien-andalou,793
eurovision-song-contest-the-story-of-fire-saga,42994
sonic-the-hedgehog,93364
doctor-sleep,551463
rambo-last-blood,589402
color-out-of-space,42175
hair-love,23684
hair-love,587970
hair-love,1779942
hair-love,2613838
crawl-2019,59291
ma-2019,55789
the-dead-dont-die-2019,4429
the-hustle-2019,91493
aladdin-2019,956
pet-sematary-2019,1154561
pet-sematary-2019,1290272
the-art-of-self-defense-2019,1198724
the-beach-bum,51918
cold-pursuit,95972
extremely-wicked-shockingly-evil-and-vile,69237
serenity-2019,23227
kitbull,2213046
the-kid-who-would-be-king,155531
glass-2019,11614
dumplin,29214
bumblebee,1033661
mary-poppins-returns,17633
the-christmas-chronicles,1281387
bird-box,1011
bohemian-rhapsody,9032
overlord-2018,1299642
her-smell,1044255
high-life-2018,9888
if-beale-street-could-talk,92784
halloween-2018,64141
gloria-bell,1142171
the-nightingale-2018,164554
greta-2018,17016
outlaw-king,3055
the-house-with-a-clock-in-its-walls,16847
the-predator,1108
dragged-across-concrete,1018106
the-sisters-brothers,17496
can-you-ever-forgive-me,177532
suspiria-2018,78160
boy-erased,33192
a-star-is-born-2018,51329
destroyer-2018,54025
the-ballad-of-buster-scruggs,1223
the-ballad-of-buster-scruggs,1224
the-happytime-murders,65298
the-meg,12962
christopher-robin,12995
the-equalizer-2,20907
skyscraper-2018,57633
hotel-transylvania-3-summer-vacation,185438
teen-titans-go-to-the-movies,1719706
teen-titans-go-to-the-movies,1903167
jurassic-world-fallen-kingdom,51894
incredibles-2,7087
hotel-artemis,1239407
under-the-silver-lake,558929
the-house-that-jack-built-2018,42
shoplifters,25645
the-kissing-booth,1066705
border-2018,1574550
bao-2018,2009739
pacific-rim-uprising,1213074
upgrade,2128
a-wrinkle-in-time-2018,929825
hearts-beat-loud,932759
a-futile-and-stupid-gesture,22214
the-guilty-2018,1923202
colette-2018,82337
mandy-2018,1044250
the-kindergarten-teacher-2018,1279519
searching-2018,1932296
summer-of-84,585933
summer-of-84,585934
summer-of-84,1397786
all-the-money-in-the-world,578
what-did-jack-do,5602
paddington-2,101666
the-babysitter-2017,36425
ghost-stories-2017,22810
ghost-stories-2017,173298
last-flag-flying,564
1922-2017,1323509
anna-and-the-apocalypse,1756398
geralds-game,551463
the-wife-2017,93237
revenge-2017-1,1607016
mom-and-dad-2017,20192
the-death-of-stalin,88926
mother-2017,6431
three-billboards-outside-ebbing-missouri,54472
darkest-hour,36588
the-shape-of-water,10828
valerian-and-the-city-of-a-thousand-planets,59
the-beguiled-2017,1769
the-square-2017,56370
baywatch,71600
my-friend-dahmer,557383
ghost-in-the-shell-2017,228134
super-dark-times,939027
brigsby-bear,1640646
call-me-by-your-name,78160
wind-river-2017,1215399
ingrid-goes-west,970777
i-dont-feel-at-home-in-this-world-anymore,209513
the-little-hours,17884
why-him,17871
better-watch-out,567933
the-void-2016,1037999
the-void-2016,1038001
the-founder,54040
jackie-2016,225009
bad-moms,52114
bad-moms,226089
piper,8012
popstar-never-stop-never-stopping,62854
popstar-never-stop-never-stopping,62863
elle,10491
my-life-as-a-zucchini,588869
raw-2016,1392433
toni-erdmann,40476
dont-think-twice,113373
the-love-witch,119624
hunt-for-the-wilderpeople,55934
bone-tomahawk,1018106
high-rise-2015,137467
fifty-shades-of-grey,1137903
paddington,101666
love-mercy,46588
what-we-do-in-the-shadows,55934
what-we-do-in-the-shadows,55936
the-skeleton-twins,303056
frank-2014,83281
filth,76965
dredd,43141
spring-breakers,51918
youre-next,98631
bernie-2011,564
just-go-with-it,17494
no-strings-attached,8858
gullivers-travels-2010,65630
black-dynamite,92657
i-love-you-phillip-morris,56411
i-love-you-phillip-morris,56412
yes-man,59026
trick-r-treat,11012
ghost-rider,16837
apocalypto,2461
idiocracy,17403
christmas-with-the-kranks,18311
the-ring-2002,1704
not-another-teen-movie,57604
zoolander,7399
amelie,2419
ginger-snaps,43
audition,17282
youve-got-mail,9248
buffalo-66,22461
alien-resurrection,2419
starship-troopers,10491
the-devils-advocate,18596
cube,5877
anaconda,26648
lost-highway,5602
jingle-all-the-way,13581
escape-from-la,11770
showgirls,10491
mortal-kombat,4014
the-mask-1994,26713
true-lies,2710
forrest-gump,24
in-the-mouth-of-madness,11770
ace-ventura-pet-detective,4499
last-action-hero,1090
death-becomes-her,24
basic-instinct,10491
bill-teds-bogus-journey,18357
point-break,14392
my-own-private-idaho,5216
